aggregator,direction,strength,n_att,f1,caught,honest_rej,damage
fedavg,none,0.0,0,0.9710689124915066,0,0,0.0
fedavg,orthogonal,1.0,1,0.9712098995028792,0,0,-0.0001409870113724
fedavg,orthogonal,2.0,1,0.9712098995028792,0,0,-0.0001409870113724
fedavg,orthogonal,2.5,1,0.9712098995028792,0,0,-0.0001409870113724
fedavg,orthogonal,3.0,1,0.9712098995028792,0,0,-0.0001409870113724
fedavg,orthogonal,6.0,1,0.971140435575582,0,0,-7.152308407543106e-05
fedavg,orthogonal,20.0,1,0.9706039932849948,0,0,0.0004649192065118
fedavg,opposite,1.0,1,0.9711383713028862,0,0,-6.945881137954135e-05
fedavg,opposite,2.0,1,0.9710668431028932,0,0,2.069388613357148e-06
fedavg,opposite,2.5,1,0.9709300246719348,0,0,0.0001388878195718
fedavg,opposite,3.0,1,0.9703267273701124,0,0,0.0007421851213941
fedavg,opposite,6.0,1,0.9687377183893672,0,0,0.0023311941021393
fedavg,opposite,20.0,1,0.0,0,0,0.9710689124915066
lpra_v1,none,0.0,0,0.9710689124915066,0,0,0.0
lpra_v1,orthogonal,1.0,1,0.9712098995028792,0,0,-0.0001409870113724
lpra_v1,orthogonal,2.0,1,0.9712098995028792,0,0,-0.0001409870113724
lpra_v1,orthogonal,2.5,1,0.9712098995028792,0,0,-0.0001409870113724
lpra_v1,orthogonal,3.0,1,0.971207840051504,4,0,-0.0001389275599973
lpra_v1,orthogonal,6.0,1,0.9712425781529436,10,0,-0.000173665661437
lpra_v1,orthogonal,20.0,1,0.9712425781529436,10,0,-0.000173665661437
lpra_v1,opposite,1.0,1,0.971173104434907,5,0,-0.0001041919434003
lpra_v1,opposite,2.0,1,0.9712425781529436,10,0,-0.000173665661437
lpra_v1,opposite,2.5,1,0.9712425781529436,10,0,-0.000173665661437
lpra_v1,opposite,3.0,1,0.9712425781529436,10,0,-0.000173665661437
lpra_v1,opposite,6.0,1,0.9712425781529436,10,0,-0.000173665661437
lpra_v1,opposite,20.0,1,0.9712425781529436,10,0,-0.000173665661437
lpra_v2,none,0.0,0,0.9710689124915066,0,0,0.0
lpra_v2,orthogonal,1.0,1,0.9712098995028792,0,0,-0.0001409870113724
lpra_v2,orthogonal,2.0,1,0.9712098995028792,0,0,-0.0001409870113724
lpra_v2,orthogonal,2.5,1,0.9712098995028792,0,0,-0.0001409870113724
lpra_v2,orthogonal,3.0,1,0.971207840051504,4,0,-0.0001389275599973
lpra_v2,orthogonal,6.0,1,0.9712425781529436,10,0,-0.000173665661437
lpra_v2,orthogonal,20.0,1,0.9712425781529436,10,0,-0.000173665661437
lpra_v2,opposite,1.0,1,0.9711363067348616,4,0,-6.739424335511224e-05
lpra_v2,opposite,2.0,1,0.9712425781529436,10,0,-0.000173665661437
lpra_v2,opposite,2.5,1,0.9712425781529436,10,0,-0.000173665661437
lpra_v2,opposite,3.0,1,0.9712425781529436,10,0,-0.000173665661437
lpra_v2,opposite,6.0,1,0.9712425781529436,10,0,-0.000173665661437
lpra_v2,opposite,20.0,1,0.9712425781529436,10,0,-0.000173665661437
fedavg,none,0.0,0,0.9710689124915066,0,0,0.0
fedavg,orthogonal,1.0,2,0.9392824287028518,0,0,0.031786483788654785
fedavg,orthogonal,2.0,2,0.9392464256966537,0,0,0.03182248679485289
fedavg,orthogonal,2.5,2,0.9392870831736297,0,0,0.031781829317876875
fedavg,orthogonal,3.0,2,0.9392870831736297,0,0,0.031781829317876875
fedavg,orthogonal,6.0,2,0.9385864154988897,0,0,0.03248249699261696
fedavg,orthogonal,20.0,2,0.9380578433250335,0,0,0.03301106916647312
fedavg,opposite,1.0,2,0.9385098399571177,0,0,0.032559072534388944
fedavg,opposite,2.0,2,0.9381411728678609,0,0,0.0329277396236457
fedavg,opposite,2.5,2,0.9377752249664943,0,0,0.03329368752501227
fedavg,opposite,3.0,2,0.9372102823430257,0,0,0.033858630148480895
fedavg,opposite,6.0,2,0.004134901150019382,0,0,0.9669340113414873
fedavg,opposite,20.0,2,0.0,0,0,0.9710689124915066
lpra_v1,none,0.0,0,0.9710689124915066,0,0,0.0
lpra_v1,orthogonal,1.0,2,0.9392824287028518,0,0,0.031786483788654785
lpra_v1,orthogonal,2.0,2,0.9392464256966537,0,0,0.03182248679485289
lpra_v1,orthogonal,2.5,2,0.9392870831736297,0,0,0.031781829317876875
lpra_v1,orthogonal,3.0,2,0.9392870831736297,3,0,0.031781829317876875
lpra_v1,orthogonal,6.0,2,0.9393230863582352,10,0,0.03174582613327137
lpra_v1,orthogonal,20.0,2,0.9393230863582352,10,0,0.03174582613327137
lpra_v1,opposite,1.0,2,0.9384426919837685,0,4,0.03262622050773811
lpra_v1,opposite,2.0,2,0.9393230863582352,10,0,0.03174582613327137
lpra_v1,opposite,2.5,2,0.9384114832535885,8,8,0.032657429237918145
lpra_v1,opposite,3.0,2,0.9378777446255069,7,11,0.03319116786599974
lpra_v1,opposite,6.0,2,0.0,0,30,0.9710689124915066
lpra_v1,opposite,20.0,2,0.9393230863582352,10,0,0.03174582613327137
lpra_v2,none,0.0,0,0.9710689124915066,0,0,0.0
