aggregator,lpra_version,attack,n_att,k,seed,rounds,strength,direction,final_f1,mean_last3_f1,rounds_all_attackers_rejected,attacker_rejections,honest_rejections,time_s
fedavg,v2,none,0,5,42,10,,,0.9710689124915066,0.9710804885460628,0,0,0,1.8733729020000283
median,v2,none,0,5,42,10,,,0.9459531517806132,0.9417258701038196,0,0,0,1.8373854569999821
trimmed_mean,v2,none,0,5,42,10,,,0.9395669668518873,0.9395189630217229,0,0,0,1.7592911749998166
krum,v2,none,0,5,42,10,,,0.9392256730364187,0.9392001429683811,0,0,40,1.76677277600038
multi_krum,v2,none,0,5,42,10,,,0.9395715982680002,0.9395038680013462,0,0,10,1.7995312670000203
lpra,v2,none,0,5,42,10,,,0.9710689124915066,0.9710804885460628,0,0,0,1.8648108729998967
fedavg,v2,scale,1,5,42,10,,,0.908443177769861,0.9130769269755746,0,0,0,2.009399463000136
median,v2,scale,1,5,42,10,,,0.9397701149425287,0.9396919410049169,0,0,0,2.6232913119997647
trimmed_mean,v2,scale,1,5,42,10,,,0.9473123597215354,0.94657993152,0,0,0,2.6534642439996787
krum,v2,scale,1,5,42,10,,,0.9395263278914693,0.9395127805330192,10,10,30,2.500664239999878
multi_krum,v2,scale,1,5,42,10,,,0.9711383713028862,0.9711029516869848,10,10,0,2.8409011859998827
lpra,v2,scale,1,5,42,10,,,0.9712425781529437,0.9711724187302305,10,10,0,2.8226545889997396
fedavg,v2,scale,2,5,42,10,,,0.9121781709050703,0.9307008025441889,0,0,0,2.889804124999955
median,v2,scale,2,5,42,10,,,0.9463061690784463,0.9419155572694513,0,0,0,2.763446122000005
trimmed_mean,v2,scale,2,5,42,10,,,0.9463061690784463,0.9419155572694513,0,0,0,2.6279063609999866
krum,v2,scale,2,5,42,10,,,0.9395623347257885,0.9395352388519808,10,20,20,2.4982398440001816
multi_krum,v2,scale,2,5,42,10,,,0.9392870831736297,0.9392599771499963,10,20,0,2.432207689000279
lpra,v2,scale,2,5,42,10,,,0.9393230863582352,0.939295980215619,10,20,0,2.5613461279999683
fedavg,v2,flip,1,5,42,10,,,0.9700932575838782,0.9701286326737545,0,0,0,2.5296439290000308
median,v2,flip,1,5,42,10,,,0.9464306110793832,0.9476596284011484,0,0,0,2.646376720000262
trimmed_mean,v2,flip,1,5,42,10,,,0.9522547423422059,0.9516856340469292,0,0,0,2.4496076989998983
krum,v2,flip,1,5,42,10,,,0.9395263278914693,0.9395127805330192,10,10,30,2.643815481999809
multi_krum,v2,flip,1,5,42,10,,,0.9711383713028862,0.9711029516869848,10,10,0,2.440497395999955
lpra,v2,flip,1,5,42,10,,,0.9712425781529437,0.9711724187302305,10,10,0,2.504411482999785
fedavg,v2,flip,2,5,42,10,,,0.9064668125997106,0.9063010877249179,0,0,0,3.0950646500000403
median,v2,flip,2,5,42,10,,,0.9393184344692759,0.9393110829813663,0,0,0,3.7597783870000967
