model,accuracy,precision,recall,f1,roc_auc,fpr,fnr,train_time_s,model_size_kb,latency_us_per_flow,throughput_flows_per_s,n_train,n_test,n_features,seed
LogReg,0.9541168480406867,0.9513358778625954,0.9905408482189059,0.9705426042163116,0.9823564375357909,0.1632,0.009459151781094115,1.4123762440000007,2.7431640625,198.04930000001755,3816747.6576509033,147730,63313,54,42
DecisionTree(d=8),0.9956722947893798,0.9971231657594636,0.9972057210274667,0.997164441684777,0.9971244371770194,0.009266666666666666,0.0027942789725332725,0.6434003030000071,17.7587890625,57.90556666667612,10813436.539525455,147730,63313,54,42
RandomForest(20x8),0.9943929366796709,0.995004335081128,0.9976610850081759,0.9963309389695623,0.9988842099089962,0.016133333333333333,0.0023389149918241468,1.5604449180000017,314.34375,1317.6131033333622,804166.4302548743,147730,63313,54,42
"MLP(32,16)",0.9921817004406678,0.993559308038479,0.9962121996150105,0.9948839853237559,0.997584105727237,0.0208,0.003787800384989547,19.28787051900001,37.279296875,331.7785333333253,544193.8988366585,147730,63313,54,42
LogReg,0.9540852589515582,0.951082853169084,0.9907892285720199,0.97053009336699,0.9823590131020636,0.16413333333333333,0.009210771427980047,4.369365168000002,2.7431640625,247.037776666635,3775786.8450896093,147730,63313,54,43
DecisionTree(d=8),0.9949773348285502,0.9970175838286768,0.9963984848798461,0.9967079382169034,0.9966114813818228,0.0096,0.0036015151201539957,0.6495161800000062,16.9775390625,79.71600333329812,9506502.066976912,147730,63313,54,43
RandomForest(20x8),0.9934136749166838,0.9937935584972576,0.9975989899198974,0.9956926382332586,0.9985628140114117,0.020066666666666667,0.002401010080102664,1.4900890490000052,316.21875,1454.3884233333415,791516.091490325,147730,63313,54,43
"MLP(32,16)",0.9918500150048173,0.9932509132938433,0.9960880094384534,0.9946674383035014,0.9972196489557676,0.0218,0.0039119905615465815,10.431942513999985,36.734375,206.3614366665926,3242291.641549777,147730,63313,54,43
LogReg,0.9538483407830936,0.9505489051674508,0.991079005650653,0.9703909369110106,0.9867828921132338,0.16606666666666667,0.008920994349346966,2.963135158,2.7431640625,233.00538999999767,3109428.187065501,147730,63313,54,44
DecisionTree(d=8),0.9956722947893798,0.9971231657594636,0.9972057210274667,0.997164441684777,0.9969984214048668,0.009266666666666666,0.0027942789725332725,0.7245562120000102,17.2900390625,59.77054666658432,10300152.892403692,147730,63313,54,44
RandomForest(20x8),0.9933662912829908,0.9936506627636109,0.9976817833709354,0.9956621429014068,0.9990120816343427,0.020533333333333334,0.002318216629064641,1.5665954629999987,292.3125,1472.0974333333932,642952.1550051363,147730,63313,54,44
"MLP(32,16)",0.9917868368265601,0.9930671618693903,0.996191501252251,0.9946268780094649,0.9970443000158686,0.0224,0.0038084987477490532,12.823011306000012,37.115234375,233.0182366666615,3264270.424352858,147730,63313,54,44
LogReg,0.9534376826244215,0.9505770644206512,0.9904787531306274,0.9701177853913678,0.9867562719488889,0.16586666666666666,0.009521246869372633,2.8952669280000123,2.7431640625,197.12700666663827,1635867.6768374417,147730,63313,54,45
DecisionTree(d=8),0.9957828566013299,0.9972676464500103,0.9972057210274667,0.9972366827773925,0.9974861362366236,0.0088,0.0027942789725332725,0.6274261739999929,17.7587890625,58.092063333295606,10381657.719338385,147730,63313,54,45
RandomForest(20x8),0.993887511253613,0.9945107103058318,0.9974954981060998,0.996000868028645,0.9991190645719924,0.017733333333333334,0.0025045018939001927,1.5035098759999812,295.75,1525.486816666633,701507.2815637478,147730,63313,54,45
"MLP(32,16)",0.9912024386776808,0.9913573133591242,0.9971643243019477,0.9942523398239586,0.9965571792271232,0.028,0.002835675698052284,8.766084734000003,36.70703125,224.544026666725,3262128.252042107,147730,63313,54,45
LogReg,0.9527743117527206,0.9496953942015757,0.9905822449444249,0.9697080218021195,0.9831701433016649,0.169,0.009417755055575103,2.508410088000005,2.7431640625,193.76202666668024,3534730.714074285,147730,63313,54,46
DecisionTree(d=8),0.9953564038980935,0.9970602240026499,0.9968538488605552,0.9969570257514283,0.9970571433499611,0.009466666666666667,0.00314615113944487,0.597209021000026,17.6025390625,58.29131666663064,10980232.364698699,147730,63313,54,46
RandomForest(20x8),0.9934610585503767,0.9939161459300048,0.9975368948316188,0.9957232288589078,0.9989414443317534,0.019666666666666666,0.002463105168381181,1.3931101030000264,292.9404296875,1341.2988133332722,767435.5511494759,147730,63313,54,46
"MLP(32,16)",0.9917868368265601,0.9932707193724842,0.9959845176246559,0.994625767378408,0.9969963363897916,0.021733333333333334,0.00401548237534411,11.942854871000009,37.115234375,210.36516333329777,3410315.204357828,147730,63313,54,46
