K,aggregator,attack,n_att,f1,f1_sd,caught,honest_rej
5,fedavg,none,0,0.9707,0.0003,0,0.0
5,fedavg,scale,1,0.9413,0.0199,0,0.0
5,lpra,none,0,0.9707,0.0003,0,0.0
5,lpra,scale,1,0.9708,0.0003,10,0.0
10,fedavg,none,0,0.951,0.0137,0,0.0
10,fedavg,scale,2,0.9376,0.0037,0,0.0
10,lpra,none,0,0.9526,0.0131,0,2.7
10,lpra,scale,2,0.963,0.0098,10,1.3
20,fedavg,none,0,0.9667,0.0046,0,0.0
20,fedavg,scale,4,0.9451,0.0037,0,0.0
20,lpra,none,0,0.9594,0.0149,0,4.0
20,lpra,scale,4,0.9642,0.008,10,2.7
50,fedavg,none,0,0.9595,0.0069,0,0.0
50,fedavg,scale,10,0.9683,0.0012,0,0.0
50,lpra,none,0,0.9595,0.0069,0,0.0
50,lpra,scale,10,0.9598,0.0067,10,0.0
